120 instances t=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DivSampCA,,,,,,,Ls-Sampling-Plus,,,,,,,Baital,,,,,,,PLEDGE,,,,,,,,,
phycore,2238818598,2284084808,2311238856,2325998572,2335618903,2341814864,2348503488,2229709648,2280828821,2311507004,2325730015,2336602452,2342785044,2349249261,2169364066,2237887423,2274824484,2294715551,2309841868,2318106113,2335204081,1984398458,2109141396,2188621734,2239396085,2258582044,2274756226,2298486383,,,
phycore229x,2635292990,2692547611,2722291414,2740013418,2750232278,2756512675,2764048819,2624521680,2686374475,2719062528,2736847355,2748433989,2756747581,2765854489,2535529888,2610694016,2669890545,2703834882,2721382257,2734553283,2746746052,2411074575,2543440354,2609414932,2647071556,2671212629,2687525574,2710601794,,,
picasso,2102610081,2149658337,2176114916,2189826200,2199202689,2205378327,2211747430,2095931467,2148335948,2173954300,2189330577,2199192834,2205125457,2212448842,2040606053,2102770253,2144583178,2164614440,2177861752,2187200023,2199639909,1803686377,1979235621,2063145353,2105349541,2132125987,2148421613,2165831915,,,
pid,1995702707,2039601541,2062192883,2074543290,2081993779,2087284178,2093414778,1993467727,2034230670,2059031157,2073761970,2081989691,2087788177,2094778123,1895199859,1976360480,2013933413,2043020346,2058039272,2068789340,2082459791,1775867467,1903681066,1966087960,2001818882,2025674423,2039787212,2058044512,,,
prpmc1100,1968367648,2011925502,2035609406,2050730063,2058724090,2063723972,2069074570,1965418536,2010268103,2033325257,2046887680,2055735871,2061222547,2067777858,1885726638,1951095425,1984496290,2009140228,2031019910,2040841763,2055370502,1845599805,1910852471,1952189396,1976506576,1996940980,2010745385,2025227996,,,
psim,1788190788,1825653278,1847036400,1858901983,1866038029,1870922244,1876449185,1786746206,1823806765,1844770492,1857868877,1865254260,1869995595,1875956529,1724938489,1786133411,1818839545,1835378495,1848355973,1855164354,1867525796,1660532788,1725541369,1760727062,1794065125,1810114044,1824488254,1837232799,,,
rattler,2506089929,2569399027,2604133267,2623198296,2635757054,2644640153,2653181415,2506455910,2571205657,2604821670,2625072523,2635264932,2644507720,2654877986,2432560670,2515388788,2554842220,2591995947,2607934583,2616647286,2629057107,2306530338,2426146745,2501479404,2541465528,2563023581,2581945069,2602627427,,,
ref4955,1955874079,1998316906,2021848969,2033869579,2042167964,2047730775,2053966693,1949995926,1995546966,2019718012,2033668682,2042023055,2046972685,2053303961,1885980980,1941973127,1983415712,2002334725,2015382405,2033332632,2044664137,1822807042,1895467668,1932571242,1958479350,1975290445,1984547747,1997858150,,,
refidt334,2234180203,2289402516,2318371917,2332776929,2344025727,2351285242,2358877334,2233122808,2286393030,2316288674,2334445319,2345291989,2352607868,2360881469,2142740886,2205364908,2249024585,2272460422,2298410726,2318547851,2336091691,2031490714,2150720813,2216926876,2252020825,2276389485,2295579968,2315195153,,,
sa1100mm,1963601691,2007563143,2030513750,2044126136,2051629119,2056457785,2063495386,1960498300,2002977233,2027385000,2042966371,2051234861,2056513219,2063150483,1893025658,1961810716,2000668801,2022619254,2031987409,2039365350,2051964312,1814804568,1908279050,1952856259,1980498464,1998966584,2012438690,2028381439,,,
sam7ex256,2513984916,2571812958,2600170852,2616719227,2626537042,2633140080,2641709783,2509743809,2563522034,2597520549,2615068509,2627205137,2635162520,2643548863,2426571790,2498021107,2539916804,2575532034,2600046976,2613524199,2630417427,2316501033,2431732930,2497499863,2530466391,2557081847,2574811119,2593081375,,,
se7751,2340383293,2393469306,2422649471,2439737468,2451342211,2459003016,2467810210,2340274888,2392836326,2422907413,2439782342,2451427132,2458563569,2466802608,2222396171,2304464464,2349665608,2399716618,2419400619,2436150865,2454544823,2167582128,2267532519,2323982529,2354716270,2379517122,2395081740,2417331778,,,
sh4_202_md,2165415580,2209900755,2236822624,2253502501,2263434765,2269264149,2277060605,2159144637,2208720416,2235738794,2252445994,2263009656,2270803598,2278628842,2092682410,2166728643,2202586833,2226003559,2237842009,2249531462,2264787548,1931825274,2062515999,2131963071,2170486413,2199428705,2214325120,2233243214,,,
sh7708,2106062129,2153581600,2179673806,2195214365,2206279166,2213235506,2220530174,2104254738,2150234721,2178775117,2195681581,2205706960,2212605688,2220065758,2000293637,2089301357,2118202369,2153232521,2168315994,2186097441,2206848227,1939999881,2024845724,2083287121,2117372164,2139017960,2154561683,2173900506,,,
skmb91302,1957953932,2000578314,2023810327,2036967122,2045146224,2050405555,2057298559,1952942559,1998760324,2021742069,2036159629,2044621553,2049861952,2056312658,1896129007,1953224288,1987030036,2013985121,2024713852,2034464251,2047003079,1790293808,1895167258,1942232724,1973189296,1994612637,2007382938,2022849698,,,
sleb,1824589025,1862490782,1882076665,1895138181,1901281313,1905441948,1911936790,1816411803,1858736333,1879632941,1892438568,1900815665,1905943935,1911140244,1754111797,1815863438,1840433589,1860630006,1879593546,1886070289,1897328024,1551045349,1696066172,1771483812,1811014727,1837043115,1851223515,1865700602,,,
smdk2410,2163809846,2216301541,2245425009,2261833697,2272563353,2280526423,2289679842,2174977797,2222184991,2247327831,2262858528,2273256646,2281088245,2289790978,2097848754,2169909920,2210737705,2231863293,2249405188,2259946749,2272982176,1968599480,2091265835,2156556821,2189507607,2210294458,2226044281,2244319909,,,
snds,1962251447,2004048598,2025251993,2037133151,2045761395,2051370472,2058122698,1955758292,2001502354,2025514519,2039115169,2047828435,2052573462,2059662792,1888852783,1951051447,1985918973,2014416384,2030170113,2041368431,2051270255,1803543488,1887461609,1936640706,1966707154,1987681265,2000300430,2015975919,,,
sparc_erc32,1730265065,1765856874,1786847165,1796863894,1803496922,1808612089,1814583425,1720886970,1761906879,1784301005,1795738165,1803064398,1807689153,1813015000,1640733044,1694420825,1729594393,1757383647,1768162188,1775240399,1794620693,1592676063,1668858436,1713890473,1739322656,1757341629,1770580151,1783256509,,,
sparc_leon,1729508953,1767048132,1785615734,1795623992,1801893435,1806206490,1812788419,1726814678,1764781568,1784203896,1795141233,1803042961,1807147688,1812826240,1652899306,1714527481,1747212443,1771715942,1782999058,1793666838,1802960284,1580486978,1659282981,1706311978,1734395937,1751586293,1762305454,1776749642,,,
sparclite_sim,1726239054,1765652220,1783404143,1796148388,1804105287,1808643493,1813599803,1723510058,1762616038,1782891037,1796043993,1802852814,1806444327,1812751955,1673963408,1726018720,1757953499,1773911968,1790732121,1799992118,1807904302,1620939784,1685644989,1721435414,1745654082,1762787875,1772566881,1782744126,,,
stb,2132217299,2177882171,2203927204,2218896474,2228519339,2233445528,2240357797,2134273955,2180860209,2204201006,2219999448,2228674817,2234620944,2240961900,2040772981,2115109846,2157569356,2181773123,2196963705,2207479591,2225441672,1930906732,2058961234,2111946180,2143593981,2164650499,2177636500,2195229028,,,
stdeval1,1826678963,1867551177,1888889370,1900635353,1909362216,1913731025,1920544636,1827684362,1868322218,1890199491,1902052077,1910465731,1915790531,1921389961,1765169119,1819803573,1852874603,1874600275,1888921810,1898268533,1907634963,1661289218,1754891899,1798789309,1828612732,1851632960,1866103876,1882054130,,,
stm3210e_eval,2231616939,2280644538,2307215908,2322941542,2333174094,2338182431,2346033520,2230889934,2282488149,2306052561,2322033670,2332759911,2338906895,2345762654,2167033639,2232417149,2267352101,2289635899,2307562915,2320079694,2331296760,2077416461,2169121019,2221481095,2254835391,2273911406,2286995046,2300487473,,,
toybox,60432595,60509591,60532027,60547419,60557523,60560095,60561399,60448747,60508551,60545363,60553019,60559323,60560587,60562171,60360079,60491939,60538367,60552131,60557647,60560655,60562055,59981646,60206967,60435055,60477007,60546431,60555503,60560895,,,
ts1000,2405905606,2463994940,2494552690,2509934881,2521160841,2527394507,2533934586,2403200790,2460947913,2491705602,2512137552,2521962221,2528104745,2536495654,2313784350,2388329580,2438011124,2464188405,2485376401,2500242231,2516129566,2215383303,2327897921,2384528581,2418734167,2445249262,2459231397,2478647145,,,
ts6,2102372404,2151856233,2175469984,2191645295,2203258565,2208892199,2215369876,2099144125,2149613063,2175115973,2191637644,2201034024,2207478278,2215154126,2020728858,2091587145,2134799675,2159162768,2171263669,2180684588,2191206742,1948042271,2040658228,2091663621,2126006012,2143105838,2158021556,2174150058,,,
tx39_sim,1768484602,1806390593,1825930563,1837570303,1843544832,1847473081,1853072928,1766835068,1804023341,1824149330,1835514464,1842418717,1847244642,1853302994,1703180416,1751717306,1787346758,1801010840,1818589049,1827694700,1843389715,1539599422,1680688219,1737675975,1775438993,1795009211,1806926854,1821501315,,,
uE250,2107431765,2155503064,2178565126,2193461149,2202776595,2209022441,2216266120,2109373098,2154483396,2180575332,2195578815,2204022333,2209458915,2215397319,2030068212,2096558253,2134244895,2155056407,2174575069,2186192116,2199103585,1979819226,2051292722,2096001700,2122579412,2140864765,2153724190,2168704655,,,
vads,2101871285,2150288704,2177225438,2191097392,2201426578,2207239275,2214876243,2096970629,2147881543,2175100531,2190553637,2200874107,2206428763,2214295398,2021545765,2089010032,2130748597,2153719377,2166675544,2177415271,2198995287,1928092321,2027280010,2080891096,2119115875,2139883734,2152630060,2169780198,,,
viper,2423324170,2478336364,2511125587,2527530559,2539346739,2546149338,2553165226,2420883434,2479303644,2510572241,2528452142,2540708954,2547391221,2556310060,2304435750,2403739648,2456069936,2487241419,2507157511,2521143270,2538137496,2160161889,2326446217,2400275981,2443172177,2469023184,2486218753,2506518731,,,
vrc4373,2097811910,2144615978,2170574008,2184514119,2193706697,2199593223,2206236908,2097152068,2147301140,2171996055,2185847855,2193164854,2198882585,2205600967,1995074343,2075303796,2128278676,2155477905,2169510309,2178702561,2188095647,1955281728,2043798995,2090548513,2119712202,2138070987,2150542449,2162938756,,,
vrc4375,2184691752,2234284888,2263526392,2278334515,2287275056,2293913292,2301487532,2184061003,2232446723,2259714763,2275181075,2286127561,2292643791,2300367236,2118674344,2188789301,2226421486,2247513792,2261783828,2273415204,2287198266,1976426403,2094747021,2153997872,2194364397,2214820155,2234754282,2251657976,,,
XSEngine,2196835907,2247691862,2275160417,2288952362,2297106374,2303045462,2309823581,2192509619,2244502713,2271321819,2287154775,2297075624,2303137312,2310504197,2111980234,2184463638,2224640643,2246637664,2258643386,2275087956,2285611779,1889799120,2054714767,2144654135,2191921869,2218869174,2241354708,2260081551,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21 instances t=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DivSampCA,,,,,,,Ls-Sampling-Plus,,,,,,,Baital,,,,,,,PLEDGE,,,,,,,,,
Instance,30,40,50,60,70,80,90,30,40,50,60,70,80,90,30,40,50,60,70,80,90,30,40,50,60,70,80,90,,,
107.sk_3_90,42349007,42349120,42349125,42349125,42349125,42349125,42349125,42348480,42348916,42349017,42349069,42349071,42349098,42349111,42348026,42348717,42348812,42348967,42349017,42349059,42349097,42347624,42348278,42348424,42348733,42348837,42348993,42349044,,,
110.sk_3_88,178679232,178679942,178680148,178680219,178680229,178680229,178680229,178676541,178677790,178679201,178679675,178679908,178680010,178680104,178676492,178677888,178678791,178679477,178679630,178679810,178679909,178675532,178677050,178677775,178678806,178679574,178679800,178679904,,,
17.sk_3_45,52288894,52288894,52288894,52288894,52288894,52288894,52288894,52288777,52288853,52288863,52288893,52288894,52288894,52288894,52288844,52288871,52288886,52288888,52288890,52288891,52288892,52288574,52288648,52288883,52288888,52288889,52288894,52288894,,,
19.sk_3_48,26140571,26140753,26140793,26140793,26140793,26140793,26140793,26140249,26140386,26140530,26140647,26140658,26140693,26140697,26139315,26139788,26140193,26140443,26140562,26140609,26140634,26131449,26139860,26140280,26140462,26140505,26140538,26140571,,,
2.6.28.6-icse11,91579932,91967184,92165655,92283292,92356045,92402895,92436130,91510596,91933540,92145330,92265054,92338215,92387657,92421676,89788487,90585019,90903895,91265872,91410073,91603363,91706978,89106565,90032865,90490519,90792116,90953390,91101414,91236268,,,
20.sk_1_51,137779817,137781147,137781620,137781746,137781790,137781794,137781794,137777983,137778728,137779034,137779484,137779582,137779896,137779971,137392828,137409781,137539610,137636692,137653151,137747812,137748534,135861072,135862747,136021513,136145978,136244436,136244655,137653969,,,
29.sk_3_45,43018971,43019113,43019113,43019113,43019113,43019113,43019113,43018649,43018800,43018823,43018850,43018893,43018933,43018968,42970551,42971640,43017792,43018145,43018248,43018431,43018579,42825830,42826126,42870675,42916472,42916524,42962090,43018200,,,
30.sk_5_76,461144646,461150903,461153607,461154805,461155321,461155450,461155464,461123829,461135374,461144431,461146172,461147268,461147949,461148899,461001623,461015153,461141748,461144689,461147759,461149152,461150666,460608308,460972763,460985034,460994446,460997522,460998971,461001071,,,
57.sk_4_64,25752765,25753115,25753208,25753217,25753217,25753217,25753217,25752675,25752840,25752969,25753041,25753088,25753145,25753177,25749971,25752063,25752503,25752609,25752946,25753052,25753068,25750585,25752108,25752504,25752733,25752918,25752986,25753049,,,
63.sk_3_64,30892967,30893602,30893809,30893870,30893881,30893881,30893881,30892520,30892889,30893080,30893294,30893398,30893449,30893524,30845062,30889763,30890520,30891039,30892329,30892954,30893215,30830066,30843379,30844761,30845319,30845748,30854416,30854556,,,
7.sk_4_50,23475799,23475808,23475808,23475808,23475808,23475808,23475808,23475657,23475736,23475770,23475795,23475800,23475807,23475808,23475431,23475585,23475729,23475752,23475784,23475789,23475794,23475013,23475580,23475721,23475749,23475767,23475789,23475801,,,
77.sk_3_44,107873463,107873474,107873474,107873474,107873474,107873474,107873474,107873183,107873332,107873362,107873414,107873451,107873463,107873464,107873081,107873302,107873396,107873417,107873458,107873464,107873464,107814201,107872927,107873235,107873392,107873417,107873444,107873451,,,
81.sk_5_51,68793109,68793454,68793454,68793454,68793454,68793454,68793454,68790550,68791239,68791666,68791796,68792260,68792543,68792631,68611447,68612599,68734145,68734804,68734804,68788762,68789452,67693982,67694383,67694415,67880758,68360455,68363341,68493419,,,
84.sk_4_77,127076809,127076991,127077025,127077026,127077026,127077026,127077026,127075860,127076496,127076835,127076926,127076943,127076972,127076985,127075470,127076234,127076579,127076750,127076920,127076949,127076963,127059208,127076114,127076377,127076488,127076715,127076867,127076928,,,
busybox-1.18.0,46260614,46267607,46268277,46268277,46268277,46268277,46268277,46258182,46266713,46267721,46267909,46268153,46268193,46268221,46186583,46236601,46250141,46252863,46255911,46261863,46263359,45978790,46139163,46221500,46245887,46255483,46259075,46261601,,,
coreboot,141533872,141540639,141541066,141541078,141541078,141541078,141541078,141529289,141537089,141538231,141539289,141539575,141540166,141540324,140967800,141062126,141127044,141297963,141361395,141377002,141387265,141098165,141208676,141265417,141402979,141449388,141451801,141467391,,,
doublyLinkedList.sk_8_37,33407097,33435504,33449834,33457392,33461682,33463731,33464947,33407046,33433597,33447449,33455130,33459335,33461502,33462999,33268775,33332577,33363981,33391409,33425896,33435521,33441186,33194610,33326226,33370170,33405688,33413593,33422424,33427070,,,
embtoolkit,748119409,748512490,748613337,748655501,748676262,748687343,748693173,747979294,748445076,748574950,748625905,748649881,748663344,748669795,741681166,746484161,746948531,747573992,747882614,748179844,748334668,723273916,740820116,742862821,744051725,745525917,746563128,746656212,,,
isolateRightmost.sk_7_481,164108367,164783891,165137097,165351638,165490341,165580139,165641190,163952236,164699629,165082161,165286843,165426589,165523016,165594979,161908296,163128397,163725288,164446444,164766004,164896832,165042300,161043923,162308828,163213269,163743246,164022349,164197491,164354001,,,
Pollard.sk_1_10,54294115,57443165,60086694,62082863,63529940,64651881,65575905,54128322,57368856,60059136,62025145,63417333,64522426,65442224,49979431,52053571,53916587,55350999,56899571,58637450,59702139,50170020,52164858,54236652,55564244,56583295,57508001,58806563,,,
uClinux-config,134008251,134035740,134039260,134039733,134039737,134039737,134039737,134000231,134029971,134035715,134037079,134037821,134038349,134038397,133888382,133970081,133992497,134003218,134005743,134006255,134007297,132925684,133642546,133859415,133956394,133982908,133996450,134000386,,,
