,"λ = 100, η = 50",,"λ = 100, η = 100",,"λ = 100, η = 150",,"λ = 100, η = 200",,"λ = 150, η = 50",,"λ = 150, η = 100",,"λ = 150, η = 150",,"λ = 150, η = 200",,"λ = 200, η = 50",,"λ = 200, η = 100",,"λ = 200, η = 150",,"λ = 200, η = 200",,"λ = 250, η = 50",,"λ = 250, η = 100",,"λ = 250, η = 150",,"λ = 250, η = 200",
Instance,avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s)
olpcl2294,67.667,62.955,67.667,7.418,72,2.799,74.667,2.617,66.333,61.184,70.667,4.78,75,3.024,73.333,3.06,66.333,71.106,68.667,5.52,74,3.565,73.333,3.534,65.667,91.461,68.667,9.379,73.333,4.023,74,4.019
p2106,61.667,56.502,63.333,6.537,67.333,2.353,72,2.3,62.333,58.615,63.667,5.682,67.333,2.925,70,2.768,61.667,63.571,63,6.173,67.667,3.367,68.667,3.075,61.333,46.124,63.667,7.193,68,3.455,67.667,3.494
pati,60.333,58.263,62,6.678,69,2.448,68.333,2.414,62,59.308,63,6.383,69,2.765,68.333,2.81,63,81.306,62.333,7.544,68.667,3.197,69.333,3.089,61,81.729,63.333,8.675,68,3.531,68.333,3.489
pc_i82544,64.667,68.673,70,7.329,71.667,2.566,74.667,2.695,66.667,49.909,69.333,8.368,72.333,2.92,74.333,3.154,68,61.535,68.333,6.998,73,3.427,74.333,3.544,67,72.21,68.667,9.413,71.667,3.85,75.333,3.924
pc_i82559,66.667,49.588,67.667,6.407,78,2.48,74,2.586,68.333,79.544,69,9.359,72.667,2.969,75,3.102,67,90.144,66,9.237,74.333,3.28,75.667,3.626,66.667,68.874,68,8.687,73.667,3.838,74,3.938
pc_rltk8139,70.667,96.56,69.667,8.693,76,2.987,77,2.975,71.667,105.362,72.667,7.305,77.667,3.267,76.667,3.34,69.333,76.562,71.333,7.878,75.333,3.945,77.333,3.751,70,82.05,71.333,10.599,75,4.313,77,4.158
pc_usb_d12,62,57.511,65.333,7.477,70,2.732,71,2.701,64.333,87.288,63,9.602,70.333,3.012,70.667,2.916,63.333,96.449,65.333,6.098,70.667,3.41,69,3.421,63.667,56.141,62.333,10.688,70,3.899,70,3.967
pc_vmWare,67.667,62.461,68,5.723,73.667,2.597,73.333,2.48,65.667,61.198,66.667,7.694,72.667,3.209,74,3.048,65.667,76.371,67.667,9.782,72.667,3.337,72.667,3.422,66.333,71.275,67.667,10.88,72,3.688,72.667,3.884
phycore,62.667,56.123,64.333,6.038,69.667,2.517,69,2.405,61.667,67.102,63.667,5.819,67.333,2.991,70.333,2.869,62.667,98.272,63.667,7.927,69,3.275,68.667,3.302,64.667,65.878,62,8.741,68.333,3.859,68,3.716
phycore229x,67.667,84.047,68.667,7.284,74,2.716,73.333,2.801,65.667,110.192,67.667,9.249,76.333,3.337,74.333,3.371,66,99.127,68.667,7.178,75.667,3.672,74.333,3.813,67,109.882,68,8.768,74.333,4.242,72.333,4.151
picasso,63.667,68.562,66.333,8.462,71.667,2.501,72,2.484,66,81.956,66,5.794,71.667,2.736,72.333,2.948,64.667,105.453,68.333,7.622,70.667,3.242,72,3.366,66.667,51.304,65.667,8.522,71.667,3.831,71,3.591
pid,60.333,57.334,62.667,8.025,67.333,2.314,70,2.344,62,58.19,62.667,8.665,68.333,2.714,69.333,2.651,62,75.258,64,6.309,69.667,3.167,68.333,2.97,59.333,59.213,63.667,7.736,68,3.624,69.333,3.4
prpmc1100,63.333,50.945,63.333,6.131,68,2.319,68.667,2.24,60,64.804,62.333,6.176,69,2.749,69,2.556,62,36.377,63.333,7.253,68.667,3.006,68,2.934,61,52.921,62.333,8.732,67.667,3.624,68.667,3.414
psim,62.333,58.75,62.333,4.023,66.667,2.022,70,2.1,61,69.588,61.667,6.12,67.333,2.263,66.667,2.457,59.667,46.045,63.333,5.989,66,2.896,67.667,2.777,59.667,51.998,64,5.995,66.667,3.229,66.667,3.119
rattler,71,104.015,71.333,8.399,78.333,3.172,77.667,3.083,67.667,111.258,70,10.864,77.333,3.622,77.667,3.655,70.333,54.548,70.333,9.423,78.333,4.002,76.667,4.084,67.333,70.91,71.667,8.512,76.667,4.79,77.333,4.508
ref4955,61.667,58.834,63,9.201,67.333,2.317,69.667,2.328,62.333,50.041,61.333,11.605,68.333,2.912,69.667,2.657,64,63.764,62.333,9.643,70.667,2.981,69,3.083,61.667,73.057,61.667,6.67,68,3.446,68.333,3.355
refidt334,70.333,65.979,72,8.578,79,2.968,78.667,3.092,69,72.803,73.333,7.476,75,3.424,76.333,3.452,68.667,85.085,70.667,7.848,75.333,3.777,77.333,3.861,69.667,78.17,71,8.253,76,4.45,76.333,4.417
sa1100mm,61.667,43.732,63,5.904,68.333,2.34,68,2.277,63,55.306,62.333,6.937,67.333,2.57,69.333,2.724,61,50.677,64.333,6.08,69,3.035,66.667,2.961,61.333,38.015,65.333,6.426,68,3.479,65.667,3.423
sam7ex256,67.667,71.978,66.333,7.166,72,2.828,76.333,2.773,66.333,93.555,68.667,6.909,74.667,3.141,74.333,3.15,65,100.66,68.667,8.622,74,3.61,74.667,3.657,67.333,80.827,66.667,11.784,73.333,4.03,73.333,4.115
se7751,72.667,68.775,73.667,7.383,78.333,3.141,79.667,3.148,72.333,118.79,73.333,11.865,80,3.351,78.333,3.461,70.667,71.774,73.333,8.719,80.667,3.779,81,3.996,70.667,69.308,71.667,9.832,78.667,4.538,78.667,4.485
sh4_202_md,72.333,66.831,71.667,9.154,79.333,2.736,77.333,2.86,69.333,87.147,73,8.814,78,3.167,78.667,3.191,72.333,76.495,71.333,7.885,77.667,3.513,77.667,3.726,71,66.643,73,8.319,77.667,4.086,77.333,4.052
sh7708,76.333,68.565,78.667,7.208,83.667,3.077,85,3.258,76.333,70.901,80.333,9.912,85,3.498,87,3.637,76.667,73.854,79.333,8.44,84.667,3.915,82,4.064,76.333,65.837,79.667,8.733,82.667,4.551,83.333,4.38
