 ,λ = 100 η = 100,, λ = 100 η = 150,, λ = 100 η = 200,, λ = 100 η = 250,, λ = 150 η = 100,, λ = 150 η = 150,, λ = 150 η = 200,, λ = 150 η = 250,, λ = 200 η = 100,, λ = 200 η = 150,, λ = 200 η = 200,, λ = 200 η = 250,, λ = 250 η = 100,, λ = 250 η = 150,, λ = 250 η = 200,, λ = 250 η = 250,
Instances,avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s),avg. size,avg. time (s)
cq7708,76,11.27,74.6,6.37,75.6,1.78,81.2,1.23,75.6,10.1,75.8,4.58,77,1.68,80.2,1.64,75.2,13.42,75.8,5.71,78.4,2.5,78.2,2.39,75.4,14.75,76.2,4.53,77,3.02,81.4,2.29
cq7750,64.4,12.69,63.2,3.47,67,1.23,68.8,0.81,64,12.3,63.8,5.38,65.2,2.33,69.2,1.6,64.2,14,63.2,5.64,65.8,2.52,67.2,2.27,63.4,14.95,63.6,6.36,65.8,2.79,68.2,2.47
csb281,66.8,11.71,66.8,3.45,70.8,1.58,71.2,1.18,67.8,11.73,68,4.04,70.6,1.85,73.2,1.6,67.6,11.13,68.4,5.32,69.4,2.83,73.2,2.33,67,12.31,69,5.46,69.2,2.96,72.2,2.46
dreamcast,69.4,13.51,69.2,3.88,70.2,1.85,73,1.12,68.8,13.02,69.2,3.62,70.8,2.08,73.2,1.54,70,14.24,69,4.19,71,2.52,75.2,1.96,69.6,16.09,70,4.76,70.8,2.93,74.2,2.49
e7t,64.2,10.62,65.2,5.08,67.4,1.98,71.2,1.23,65,12.53,65.8,4.73,67.8,2.06,70.8,1.41,65.2,12.74,64.6,6.74,68.4,2.62,70.8,2.35,66,13.84,65.4,4.81,66.6,3.12,70.8,2.71
ea2468,65.4,13.16,65.6,4.27,68.2,1.61,71,1.19,65.6,12.5,65.2,4.88,68,1.88,69.8,1.7,65.4,15.11,66,6.05,67,2.58,71.6,2.11,65.6,15.59,65.8,4.74,67.4,2.88,69.4,2.37
eb40,62.2,10.57,61.2,4.14,64,1.84,66.8,1.08,62.2,12.52,61.4,3.4,62.6,1.86,66.6,1.48,60.6,12.08,62,4.02,63.8,2.44,65.2,2.01,61,14.06,61.6,4.7,63.2,2.52,65.4,2.06
eb40a,61.6,12.42,62,2.1,64,1.36,67.8,1.11,61.2,11.29,61.6,4.55,64.2,1.99,66,1.48,59.6,11.05,60.8,4.25,62.8,2.55,66.2,2.11,61.6,12.22,61,4.28,63.4,2.78,65.8,2.32
eb42,60.6,10.1,60.6,3.49,63,1.47,64.4,1.11,60.4,9.8,60.2,3.23,62.6,1.86,65.4,1.48,61,11.39,60.4,4.54,61.4,2.67,64.8,2.09,60.8,11.1,60.4,4.7,62.2,2.39,65.2,2.3
eb55,61.8,10.22,61.6,3.74,63,1.49,66.6,0.92,61.8,10.47,61.4,3.59,63,1.58,66.6,1.55,61,11.21,62.4,5.43,63,2.33,66.6,2.05,61.4,12.87,61.8,4.23,63.4,2.82,65.6,2.36
ebsa285,69.6,12.75,68,5.16,72.2,1.72,72.2,1.23,69,13.59,67.4,3.86,70.4,2.24,72,1.69,67.8,12.58,68.6,5.32,70.2,2.57,72.8,2.32,69.2,16.61,69.6,4.72,71.4,2.9,73.6,2.64
ec555,60.8,9.19,61.6,3.69,62.2,1.8,65,1.16,61.4,11.8,61.2,4.01,62,2.01,65.4,1.31,60.4,11.96,61,5.29,63,2.82,65.8,2.26,60.4,13.72,60.6,4.98,63.2,2.55,66.2,2.21
ecos-icse11,64,12.1,64.2,5.47,67,1.5,68,1.19,64.6,12.88,65.2,3.4,67,1.97,69.6,1.64,65.4,10.96,64.2,5.44,67.2,2.6,69.4,1.97,64,13.52,65.2,5.51,67.6,2.79,68.8,2.17
edb7xxx,65,11.46,65,3.35,66.8,1.7,69.4,1.15,67,12.16,66,3.5,66.4,2.07,70,1.57,64.4,11.63,66.2,4.71,67.2,2.59,70,2.27,64.8,12.95,64.2,6.1,66.2,2.89,70.2,2.46
edosk2674,65.2,11.16,63.6,3.22,66.2,1.55,68,0.94,64.2,12.43,64.8,3.1,66.2,1.73,69.2,1.43,65,10.01,64.4,5.22,64.8,2.52,69.2,1.75,64.2,9.52,64.8,4.87,66.4,2.48,67.6,2.02
excalibur_arm9,76.4,12.01,75.2,3.97,78.8,1.64,80.8,1.34,76.4,11.69,77.6,5.09,79.8,2.09,81,1.46,76.2,12.36,75.8,5.85,78,3.07,81.6,2.56,76.4,12.97,77,5,79.2,3.09,81.6,2.36
fads,59.8,9.58,59.4,2.47,62,1.41,64.2,1.01,60.8,10.67,58.8,4.27,61.4,1.71,64.6,1.35,60.2,10.22,60.2,4.61,62,2.61,64.6,1.95,60,10.22,59.4,4.34,62.4,2.45,64,1.84
flexanet,66.2,13.19,65,3.15,68,1.81,72.4,1.18,66.2,14.65,66.4,6.32,67.8,1.9,70,1.75,65.6,11.25,65.8,7.52,67,2.85,70.2,2.21,65.6,14.49,66,5.04,68,2.86,69.6,2.25
